ID	Population	Site	Depth	Est_K	P1	P2	P3	P4	group	relatedness	mean_IBD_length.kb	N50_IBD_Length.kb	Mean_IBD_goodness	cluster	year	eff_k
PH0172-C	West_Cambodia	Pursat	137.55	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0173-C	West_Cambodia	Pursat	161.74	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0191-C	West_Cambodia	Pursat	213.23	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0192-C	West_Cambodia	Pursat	214.28	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0193-C	West_Cambodia	Pursat	65.42	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0194-C	West_Cambodia	Pursat	145.9	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0195-C	West_Cambodia	Pursat	64.32	4	0.06	0.15	0.5	0.29	Asia1	0.473408335107725	NA	NA	NA	NA	2010	2.77623542476402
PH0197-C	West_Cambodia	Pursat	155.28	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0198-C	West_Cambodia	Pursat	101.07	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0199-C	West_Cambodia	Pursat	102.29	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0200-C	West_Cambodia	Pursat	51.18	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0206-C	West_Cambodia	Pursat	241.05	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0207-C	West_Cambodia	Pursat	164.26	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0208-C	West_Cambodia	Pursat	98.97	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0209-C	West_Cambodia	Pursat	187.11	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0210-C	West_Cambodia	Pursat	89.15	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0211-C	West_Cambodia	Pursat	8.58	1	0.99	0	0.01	0	Asia1	NA	NA	NA	NA	NA	2010	1.020199959192
PH0212-C	West_Cambodia	Pursat	246.4	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0213-C	West_Cambodia	Pursat	115.45	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0238-C	West_Cambodia	Pursat	64.93	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0239-C	West_Cambodia	Pursat	74.43	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0240-C	West_Cambodia	Pursat	57.47	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0241-C	West_Cambodia	Pursat	51.71	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0242-C	West_Cambodia	Pursat	59.73	3	0.02	0.26	0.72	0.01	Asia1	0.637379543541614	300.743094488189	658.096	0.545226686293322	Sib	2010	1.70502983802217
PH0243-C	West_Cambodia	Pursat	80.47	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0244-C	West_Cambodia	Pursat	80.29	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0245-C	West_Cambodia	Pursat	80.39	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0246-C	West_Cambodia	Pursat	209	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0247-C	West_Cambodia	Pursat	60.41	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0248-C	West_Cambodia	Pursat	45.75	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0249-C	West_Cambodia	Pursat	53.55	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0250-C	West_Cambodia	Pursat	51.33	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1.02030405060708
PH0251-C	West_Cambodia	Pursat	62.98	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0252-C	West_Cambodia	Pursat	54.85	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1.02030405060708
PH0253-C	West_Cambodia	Pursat	31.64	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0274-C	West_Cambodia	Pursat	161.31	2	0.63	0	0.37	0	Asia1	0.809223484982462	281.674117647059	760.92	0.924102325810633	HighSib	2010	1.87336080929187
PH0283-C	West_Cambodia	Pursat	67.3	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0284-C	West_Cambodia	Pursat	43.36	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0285-C	West_Cambodia	Pursat	48.37	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1.02030405060708
PH0286-CW	West_Cambodia	Pursat	181.81	3	0	0.14	0.5	0.36	Asia1	0.700574700988965	317.624305785124	730.228	0.871162319219729	HighSib	2010	2.50501002004008
PH0294-C	West_Cambodia	Pursat	560.91	2	0.82	0	0	0.18	Asia1	0.877765290035965	470.100148148148	869.706	0.958149236803346	HighSib	2010	1.41884222474461
PH0297-C	West_Cambodia	Pursat	37.28	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0300-C	West_Cambodia	Pursat	69.6	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0302-C	West_Cambodia	Pursat	57.67	4	0.06	0.24	0.56	0.14	Asia1	0.443720171304902	NA	NA	NA	NA	2010	2.53549695740365
PH0303-CW	West_Cambodia	Pursat	69.8	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0304-C	West_Cambodia	Pursat	18.83	2	0.85	0	0	0.15	Asia1	0.772873989294825	368.086119047619	711.763	0.894975182973117	HighSib	2010	1.34228187919463
PH0305-C	West_Cambodia	Pursat	68.72	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0306-C	West_Cambodia	Pursat	58.19	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
PH0307-C	West_Cambodia	Pursat	65.83	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2010	1
