strain	isolate	slot	coi	proportion	mean_coverage	ref_calls	nref_calls	zscore	clonal_nref_mean	clonal_nref_sd	country	site	discarded
PT0008-CW.h4	PT0008-CW	4	2	0.04	71.02	344223	5019	1.389775468	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0009-CW.h1	PT0009-CW	1	1	1	63.05	344477	4765	-0.068059713	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0010-CW.h1	PT0010-CW	1	4	0.03	60.36	344382	4860	0.477193602	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0010-CW.h2	PT0010-CW	2	4	0.26	60.36	345236	4006	-4.42434673	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0010-CW.h3	PT0010-CW	3	4	0.48	60.36	344225	5017	1.37829645	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0010-CW.h4	PT0010-CW	4	4	0.23	60.36	345332	3910	-4.975339554	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0013-CW.h2	PT0013-CW	2	3	0.38	39.78	344899	4343	-2.490132337	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0013-CW.h3	PT0013-CW	3	3	0.43	39.78	344704	4538	-1.370928162	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0013-CW.h4	PT0013-CW	4	3	0.19	39.78	345723	3519	-7.219487411	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0014-CW.h1	PT0014-CW	1	1	1	59.92	344544	4698	-0.452606789	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0015-CW.h2	PT0015-CW	2	3	0.34	52.91	344745	4497	-1.606248014	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0015-CW.h3	PT0015-CW	3	3	0.64	52.91	344510	4732	-0.257463497	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0015-CW.h4	PT0015-CW	4	3	0.02	52.91	343525	5717	5.39595246	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0016-CW.h2	PT0016-CW	2	3	0.42	41.87	344910	4332	-2.553266931	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0016-CW.h3	PT0016-CW	3	3	0.45	41.87	344759	4483	-1.686601135	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0016-CW.h4	PT0016-CW	4	3	0.13	41.87	345575	3667	-6.370040141	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0017-CW.h1	PT0017-CW	1	2	0.72	23.5	344643	4599	-1.020818139	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0017-CW.h3	PT0017-CW	3	2	0.28	23.5	345023	4219	-3.201831401	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0018-CW.h1	PT0018-CW	1	1	1	31.53	344649	4593	-1.05525519	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0020-CW.h1	PT0020-CW	1	1	0.98	9.63	345032	4210	-3.253486978	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0021-CW.h1	PT0021-CW	1	2	0.97	29.34	344483	4759	-0.102496765	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0021-CW.h4	PT0021-CW	4	2	0.02	29.34	342759	6483	9.792416037	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0023-CW.h1	PT0023-CW	1	1	1	27.28	344531	4711	-0.377993177	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0027-C.h1	PT0027-C	1	1	1	40.12	344514	4728	-0.280421531	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0029-C.h2	PT0029-C	2	3	0.2	69.61	345191	4051	-4.166068844	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0029-C.h3	PT0029-C	3	3	0.61	69.61	344542	4700	-0.441127771	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0029-C.h4	PT0029-C	4	3	0.19	69.61	345301	3941	-4.797414788	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0031-C.h1	PT0031-C	1	1	1	73.53	344249	4993	1.240548244	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0032-C.h1	PT0032-C	1	1	1	156.93	344423	4819	0.24187375	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0034-C.h1	PT0034-C	1	1	1	49.07	344436	4806	0.167260139	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0035-C.h1	PT0035-C	1	1	1	41.08	344511	4731	-0.263203005	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0038-C.h1	PT0038-C	1	4	0.12	90.33	345904	3338	-8.258338465	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0038-C.h2	PT0038-C	2	4	0.28	90.33	345237	4005	-4.430086239	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0038-C.h3	PT0038-C	3	4	0.42	90.33	343931	5311	3.065711975	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0038-C.h4	PT0038-C	4	4	0.17	90.33	345678	3564	-6.961209525	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0039-C.h1	PT0039-C	1	2	0.93	16.49	344503	4739	-0.217286937	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0039-C.h3	PT0039-C	3	2	0.07	16.49	344228	5014	1.361077925	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0040-C.h1	PT0040-C	1	1	0.99	9.74	344849	4393	-2.203156907	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0041-C.h1	PT0041-C	1	1	1	62.23	344451	4791	0.08116751	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0042-C.h1	PT0042-C	1	1	1	60.42	344381	4861	0.482933111	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0043-C.h2	PT0043-C	2	3	0.21	83.78	345179	4063	-4.097194741	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0043-C.h3	PT0043-C	3	3	0.65	83.78	344479	4763	-0.07953873	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0043-C.h4	PT0043-C	4	3	0.14	83.78	345677	3565	-6.955470016	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0044-C.h1	PT0044-C	1	4	0.06	108.28	346036	3206	-9.015953599	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0044-C.h2	PT0044-C	2	4	0.2	108.28	345400	3842	-5.365626138	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0044-C.h3	PT0044-C	3	4	0.55	108.28	343979	5263	2.790215562	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0044-C.h4	PT0044-C	4	4	0.18	108.28	345638	3604	-6.731629182	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0046-C.h2	PT0046-C	2	3	0.3	59.85	345009	4233	-3.121478281	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0046-C.h3	PT0046-C	3	3	0.46	59.85	344801	4441	-1.927660495	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0046-C.h4	PT0046-C	4	3	0.24	59.85	345043	4199	-3.316621573	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0047-C.h1	PT0047-C	1	2	0.71	257.7	344391	4851	0.425538025	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0047-C.h3	PT0047-C	3	2	0.29	257.7	344655	4587	-1.089692242	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0048-C.h1	PT0048-C	1	1	1	61.71	344445	4797	0.115604561	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0051-C.h2	PT0051-C	2	3	0.27	145.17	343840	5402	3.588007256	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0051-C.h3	PT0051-C	3	3	0.59	145.17	346514	2728	-11.7594387	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0051-C.h4	PT0051-C	4	3	0.14	145.17	343222	6020	7.135023562	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0052-C.h1	PT0052-C	1	1	1	76.92	344436	4806	0.167260139	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0053-C.h2	PT0053-C	2	3	0.32	45.8	344963	4279	-2.857460886	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0053-C.h3	PT0053-C	3	3	0.42	45.8	344449	4793	0.092646527	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0053-C.h4	PT0053-C	4	3	0.25	45.8	345215	4027	-4.30381705	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0054-C.h1	PT0054-C	1	4	0.08	60.42	345477	3765	-5.807568299	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0054-C.h2	PT0054-C	2	4	0.27	60.42	345195	4047	-4.189026878	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0054-C.h3	PT0054-C	3	4	0.47	60.42	344807	4435	-1.962097547	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0054-C.h4	PT0054-C	4	4	0.18	60.42	345360	3882	-5.136045795	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0055-C.h1	PT0055-C	1	2	0.76	55.31	344422	4820	0.247613259	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0055-C.h3	PT0055-C	3	2	0.24	55.31	345101	4141	-3.649513071	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0056-C.h1	PT0056-C	1	2	0.95	84.32	344466	4776	-0.004925119	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0056-C.h3	PT0056-C	3	2	0.05	84.32	345261	3981	-4.567834445	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0057-C.h1	PT0057-C	1	4	0.1	100.65	345900	3342	-8.235380431	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0057-C.h2	PT0057-C	2	4	0.34	100.65	344678	4564	-1.221700939	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0057-C.h3	PT0057-C	3	4	0.38	100.65	344228	5014	1.361077925	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0057-C.h4	PT0057-C	4	4	0.18	100.65	345514	3728	-6.019930117	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0058-C.h1	PT0058-C	1	1	1	72.45	344377	4865	0.505891145	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0059-C.h1	PT0059-C	1	2	0.5	163.28	344419	4823	0.264831785	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0059-C.h3	PT0059-C	3	2	0.5	163.28	344413	4829	0.299268836	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0060-C.h1	PT0060-C	1	1	1	158.19	344272	4970	1.108539547	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0061-C.h1	PT0061-C	1	4	0.06	100.43	345870	3372	-8.063195173	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0061-C.h2	PT0061-C	2	4	0.3	100.43	345095	4147	-3.615076019	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0061-C.h3	PT0061-C	3	4	0.45	100.43	344238	5004	1.303682839	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0061-C.h4	PT0061-C	4	4	0.18	100.43	345462	3780	-5.72147567	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0062-C.h2	PT0062-C	2	3	0.16	62.61	344250	4992	1.234808736	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0062-C.h3	PT0062-C	3	3	0.53	62.61	346052	3190	-9.107785736	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0062-C.h4	PT0062-C	4	3	0.31	62.61	344763	4479	-1.709559169	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0063-C.h1	PT0063-C	1	1	1	30.55	344502	4740	-0.211547428	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0064-C.h1	PT0064-C	1	2	0.84	82.09	344473	4769	-0.045101679	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0064-C.h3	PT0064-C	3	2	0.16	82.09	345243	3999	-4.46452329	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0065-C.h2	PT0065-C	2	3	0.2	59.73	343834	5408	3.622444307	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0065-C.h3	PT0065-C	3	3	0.53	59.73	345996	3246	-8.786373255	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0065-C.h4	PT0065-C	4	3	0.26	59.73	344007	5235	2.629509322	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0066-C.h1	PT0066-C	1	1	1	85.24	344267	4975	1.13723709	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0067-C.h1	PT0067-C	1	2	0.69	23.96	345033	4209	-3.259226487	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0067-C.h3	PT0067-C	3	2	0.31	23.96	344503	4739	-0.217286937	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0068-C.h1	PT0068-C	1	1	0.99	94.72	344306	4936	0.913396255	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0069-C.h2	PT0069-C	2	3	0.17	188.74	346948	2294	-14.25038543	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0069-C.h3	PT0069-C	3	3	0.62	188.74	344497	4745	-0.182849885	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0069-C.h4	PT0069-C	4	3	0.2	188.74	346808	2434	-13.44685423	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0070-C.h1	PT0070-C	1	2	0.92	100.71	344474	4768	-0.050841188	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0070-C.h3	PT0070-C	3	2	0.08	100.71	345705	3537	-7.116176257	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0071-C.h1	PT0071-C	1	2	0.97	67.42	344478	4764	-0.073799222	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0071-C.h3	PT0071-C	3	2	0.03	67.42	344806	4436	-1.956358038	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0072-C.h1	PT0072-C	1	2	0.77	82.42	344549	4693	-0.481304331	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0072-C.h3	PT0072-C	3	2	0.23	82.42	344728	4514	-1.508676368	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0073-C.h2	PT0073-C	2	3	0.31	60.72	344461	4781	0.023772424	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0073-C.h3	PT0073-C	3	3	0.62	60.72	344290	4952	1.005228392	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0073-C.h4	PT0073-C	4	3	0.06	60.72	345402	3840	-5.377105155	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0074-C.h2	PT0074-C	2	3	0.15	65.15	345753	3489	-7.391672669	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0074-C.h3	PT0074-C	3	3	0.72	65.15	344395	4847	0.402579991	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0074-C.h4	PT0074-C	4	3	0.13	65.15	345796	3446	-7.638471538	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0075-C.h1	PT0075-C	1	4	0.29	71.96	344765	4477	-1.721038186	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0075-C.h2	PT0075-C	2	4	0.33	71.96	344636	4606	-0.980641578	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0075-C.h3	PT0075-C	3	4	0.21	71.96	345312	3930	-4.860549383	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0075-C.h4	PT0075-C	4	4	0.18	71.96	345495	3747	-5.910879454	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0076-C.h2	PT0076-C	2	3	0.3	127.12	344592	4650	-0.728103201	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0076-C.h3	PT0076-C	3	3	0.58	127.12	344354	4888	0.637899843	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0076-C.h4	PT0076-C	4	3	0.13	127.12	345546	3696	-6.203594392	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0077-Cx.h2	PT0077-Cx	2	3	0.29	81.08	344961	4281	-2.845981869	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0077-Cx.h3	PT0077-Cx	3	3	0.6	81.08	344489	4753	-0.136933816	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0077-Cx.h4	PT0077-Cx	4	3	0.11	81.08	345976	3266	-8.671583084	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0078-Cx.h1	PT0078-Cx	1	2	0.75	119.74	344295	4947	0.976530849	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0078-Cx.h3	PT0078-Cx	3	2	0.25	119.74	344669	4573	-1.170045362	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0079-C.h1	PT0079-C	1	1	1	236.55	344431	4811	0.195957682	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0080-C.h1	PT0080-C	1	1	1	41.12	344416	4826	0.28205031	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0081-C.h2	PT0081-C	2	3	0.24	87.61	343751	5491	4.09882352	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0081-C.h3	PT0081-C	3	3	0.61	87.61	346543	2699	-11.92588445	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0081-C.h4	PT0081-C	4	3	0.15	87.61	343246	5996	6.997275356	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0082-C.h1	PT0082-C	1	4	0.22	94.99	345145	4097	-3.902051449	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0082-C.h2	PT0082-C	2	4	0.43	94.99	344675	4567	-1.204482413	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0082-C.h3	PT0082-C	3	4	0.2	94.99	345134	4108	-3.838916854	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0082-C.h4	PT0082-C	4	4	0.15	94.99	345278	3964	-4.665406091	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0083-C.h2	PT0083-C	2	3	0.25	80.44	344730	4512	-1.520155386	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0083-C.h3	PT0083-C	3	3	0.55	80.44	344413	4829	0.299268836	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0083-C.h4	PT0083-C	4	3	0.2	80.44	344954	4288	-2.805805309	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0084-C.h1	PT0084-C	1	1	1	42.08	344541	4701	-0.435388263	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0085-C.h1	PT0085-C	1	2	0.55	70	344653	4589	-1.078213224	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0085-C.h3	PT0085-C	3	2	0.45	70	344371	4871	0.540328197	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0086-C.h1	PT0086-C	1	1	1	51.88	344475	4767	-0.056580696	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0087-C.h2	PT0087-C	2	3	0.16	39.24	345549	3693	-6.220812917	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0087-C.h3	PT0087-C	3	3	0.59	39.24	344304	4938	0.924875272	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0087-C.h4	PT0087-C	4	3	0.25	39.24	345171	4071	-4.051278672	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0088-C.h1	PT0088-C	1	1	1	102.42	344406	4836	0.339445396	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0089-C.h1	PT0089-C	1	4	0.13	74.5	345705	3537	-7.116176257	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0089-C.h2	PT0089-C	2	4	0.21	74.5	345500	3742	-5.939576997	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0089-C.h3	PT0089-C	3	4	0.49	74.5	344121	5121	1.975205343	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0089-C.h4	PT0089-C	4	4	0.17	74.5	345664	3578	-6.880856405	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0090-C.h1	PT0090-C	1	2	0.89	94.71	344347	4895	0.678076403	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0090-C.h3	PT0090-C	3	2	0.11	94.71	345635	3607	-6.714410656	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0091-C.h1	PT0091-C	1	2	0.82	51.33	344347	4895	0.678076403	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0091-C.h3	PT0091-C	3	2	0.18	51.33	345303	3939	-4.808893805	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0092-C.h2	PT0092-C	2	3	0.39	140.42	345018	4224	-3.173133858	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0092-C.h3	PT0092-C	3	3	0.43	140.42	345158	4084	-3.97666506	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0092-C.h4	PT0092-C	4	3	0.18	140.42	344488	4754	-0.131194308	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0094-C.h1	PT0094-C	1	4	0.07	81.51	345834	3408	-7.856572864	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0094-C.h2	PT0094-C	2	4	0.41	81.51	344575	4667	-0.630531555	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0094-C.h3	PT0094-C	3	4	0.42	81.51	344406	4836	0.339445396	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0094-C.h4	PT0094-C	4	4	0.11	81.51	345675	3567	-6.943990999	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0095-C.h1	PT0095-C	1	1	0.99	53.59	344536	4706	-0.40669072	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0096-C.h1	PT0096-C	1	2	0.57	57.07	344567	4675	-0.584615486	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0096-C.h3	PT0096-C	3	2	0.43	57.07	344572	4670	-0.613313029	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0097-C.h1	PT0097-C	1	4	0.03	56.28	343928	5314	3.0829305	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0097-C.h2	PT0097-C	2	4	0.2	56.28	345517	3725	-6.037148643	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0097-C.h3	PT0097-C	3	4	0.67	56.28	344533	4709	-0.389472194	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0097-C.h4	PT0097-C	4	4	0.11	56.28	345779	3463	-7.540899892	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0098-C.h1	PT0098-C	1	1	1	50.66	344317	4925	0.85026166	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0099-C.h1	PT0099-C	1	2	0.53	49.65	344634	4608	-0.969162561	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0099-C.h3	PT0099-C	3	2	0.47	49.65	344679	4563	-1.227440448	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0100-C.h2	PT0100-C	2	3	0.22	82.32	345003	4239	-3.087041229	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0100-C.h3	PT0100-C	3	3	0.61	82.32	344555	4687	-0.515741383	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0100-C.h4	PT0100-C	4	3	0.17	82.32	345040	4202	-3.299403047	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0101-C.h1	PT0101-C	1	1	1	60.08	344390	4852	0.431277534	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0102-C.h1	PT0102-C	1	2	0.82	93.26	344395	4847	0.402579991	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0102-C.h3	PT0102-C	3	2	0.18	93.26	344842	4400	-2.162980347	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0103-C.h1	PT0103-C	1	3	0.39	108.2	344892	4350	-2.449955776	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0103-C.h2	PT0103-C	2	3	0.49	108.2	344263	4979	1.160195124	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0103-C.h3	PT0103-C	3	3	0.12	108.2	346073	3169	-9.228315416	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0104-C.h1	PT0104-C	1	2	0.86	59.36	344386	4856	0.454235568	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0104-C.h3	PT0104-C	3	2	0.14	59.36	345408	3834	-5.411542207	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0105-C.h1	PT0105-C	1	2	0.95	131.14	344380	4862	0.48867262	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0105-C.h3	PT0105-C	3	2	0.05	131.14	345814	3428	-7.741782693	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
