strain	isolate	slot	coi	proportion	mean_coverage	ref_calls	nref_calls	zscore	clonal_nref_mean	clonal_nref_sd	country	site	discarded
PT0001-CW.h1	PT0001-CW	1	4	0.09	64.27	345536	3706	-6.146199306	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0001-CW.h2	PT0001-CW	2	4	0.3	64.27	345365	3877	-5.164743338	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0001-CW.h3	PT0001-CW	3	4	0.48	64.27	343825	5417	3.674099885	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0001-CW.h4	PT0001-CW	4	4	0.13	64.27	345792	3450	-7.615513504	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0002-CW.h1	PT0002-CW	1	1	1	69.44	344315	4927	0.861740678	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0003-CW.h1	PT0003-CW	1	4	0.11	62.06	345743	3499	-7.334277583	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0003-CW.h2	PT0003-CW	2	4	0.29	62.06	345226	4016	-4.366951644	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0003-CW.h3	PT0003-CW	3	4	0.39	62.06	344434	4808	0.178739156	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0003-CW.h4	PT0003-CW	4	4	0.21	62.06	345588	3654	-6.444653752	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0004-CW.h1	PT0004-CW	1	2	0.66	64.56	344625	4617	-0.917506984	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0004-CW.h3	PT0004-CW	3	2	0.34	64.56	344804	4438	-1.944879021	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0005-CW.h1	PT0005-CW	1	2	0.92	61.22	344474	4768	-0.050841188	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0005-CW.h3	PT0005-CW	3	2	0.08	61.22	345736	3506	-7.294101023	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0006-CW.h1	PT0006-CW	1	2	0.88	56.2	344416	4826	0.28205031	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0006-CW.h3	PT0006-CW	3	2	0.12	56.2	345616	3626	-6.605359993	4776.858108	174.2309442	Malawi	Chikwawa	TRUE
PT0007-CW.h1	PT0007-CW	1	1	1	41.31	344485	4757	-0.113975782	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
PT0008-CW.h1	PT0008-CW	1	2	0.95	71.02	344593	4649	-0.733842709	4776.858108	174.2309442	Malawi	Chikwawa	FALSE
